Gene_Symbol,GSM4054763_Counts_SN_C1,GSM4054764_Counts_SN_C2,GSM4054765_Counts_SN_C3,GSM4054766_Counts_SN_C4,GSM4054767_Counts_SN_C5,GSM4054768_Counts_SN_PD1,GSM4054769_Counts_SN_PD2,GSM4054770_Counts_SN_PD3,GSM4054771_Counts_SN_PD4,GSM4054772_Counts_SN_PD5
ACOX1,1832.524,1226.054,1510.597,2073.758,944.086,1879.45,934.272,1416.401,1827.894,1849.597
ACOX2,167.001,95.0,118.0,167.0,84.0,143.0,121.0,96.001,109.0,101.999
ACOX3,360.999,235.0,195.999,440.001,193.0,397.0,150.0,287.0,339.0,246.001
ACOXL,8.998,12.517,7.099,14.002,6.031,16.251,10.124,12.011,18.856,19.486
ACOXL-AS1,2.0,2.0,2.0,3.0,1.0,8.0,2.0,7.0,3.0,3.0
ACP1,1893.001,1152.999,1112.0,2058.0,997.0,1828.001,789.0,1360.999,1765.0,1498.999
ACP2,924.0,461.0,531.999,874.0,509.001,663.001,175.0,483.0,611.001,384.001
ACP3,96.0,6.0,13.0,26.0,11.112,18.0,20.999,40.001,27.0,26.0
ACP4,2.0,0.0,1.0,3.0,1.0,2.0,0.0,2.0,0.0,1.0
ACP5,96.999,50.0,69.0,159.0,18.0,62.001,94.0,58.0,64.0,34.0
ACP6,524.645,214.469,335.256,459.589,196.094,621.524,223.045,390.554,390.979,426.293
ACP7,315.581,144.25,122.183,284.715,84.356,222.059,166.486,262.326,186.337,147.874
ACRBP,25.0,12.0,29.0,81.0,26.0,26.0,24.0,26.001,31.999,36.998
ACRP1,1.817,0.0,1.256,2.096,0.0,0.0,6.0,3.0,1.433,2.0
ACRV1,9.0,6.0,8.0,17.0,11.0,11.0,11.0,9.0,12.0,12.0
ACSBG1,3350.463,2922.931,4395.506,4719.162,2686.478,3677.448,1493.998,2197.965,4011.279,2883.003
ACSBG2,4.0,4.0,2.0,7.0,1.0,5.0,1.0,5.0,7.0,12.0
ACSF2,388.955,256.008,331.261,369.157,196.616,442.617,255.891,344.975,341.0,300.964
ACSF3,579.163,427.184,526.102,756.93,366.027,751.609,309.82,510.638,640.472,512.482
ACSL1,6117.897,3598.225,3313.92,8357.946,2227.943,5458.791,3738.285,4633.324,5254.024,5681.808
ACSL3,3937.998,2644.0,2636.0,4081.0,2223.0,4393.012,1515.0,2996.001,3904.0,3493.0
ACSL3-AS1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ACSL3P1,454.0,178.0,266.0,458.0,193.0,479.987,57.0,735.0,353.0,190.0
